Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / France,Price / France,Compare At Price / France,Included / Belgique,Price / Belgique,Compare At Price / Belgique,Status
ms23-jts-001-18-souvenir-t-shirt,Souvenir T-Shirt,"<p>The Souvenir screen-printed organic cotton t-shirt features a seasonal artwork inspired by the work of Mexican artist Pedro Linares, the fantastical creatures are a hallucinatory journey through the animal kingdom. Completed with a classic crewneck, short sleeves and Casablanca Paris branded label, designed for a relaxed fit.</p>
<li>100% organic cotton</li>
<li>Colour: red</li>
<li>Delicate machine wash</li>
<li>Made in Portugal</li>
<li>Unisex fit, take your regular size</li>
<li>The model is 187cm/6’1 and is wearing a size M</li>",MS23-JTS-001-18,Non classé,T-SHIRTS - UNISEX,"ARCHIVE SALE, SS23",true,Size,XS,,,,,,,,5056626827823,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/MS23-JTS-001-18RED_02_60c44478-5d32-4098-b5f6-75f171469af9.png?v=1718200563,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ms23-jts-001-18-souvenir-t-shirt,,,,,,,,,S,,,,,,,,5056626827830,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/MS23-JTS-001-18RED_FRONT_bba7a1a6-4741-4a04-8fdb-4b44374e8d92.png?v=1718200563,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms23-jts-001-18-souvenir-t-shirt,,,,,,,,,M,,,,,,,,5056626827847,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms23-jts-001-18-souvenir-t-shirt,,,,,,,,,L,,,,,,,,5056626827854,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms23-jts-001-18-souvenir-t-shirt,,,,,,,,,XL,,,,,,,,5056626827861,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms23-jts-001-18-souvenir-t-shirt,,,,,,,,,XXL,,,,,,,,5056626827878,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms23-jts-001-18-souvenir-t-shirt,,,,,,,,,XXXL,,,,,,,,5056626827885,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-182-01-sports-tailoring-shorts,Sports Tailoring Shorts,"<p>The sports tailoring shorts are crafted from a cotton blend fabric and feature the house's signature diamond logo. Finished with slanted front pockets, lining, welted back pockets, belt loops, zip closure and contrast blue, white and green panels on the hem.</p><li>Tricot fabric</li> 
<li>53% polyester 47% cotton</li> 
<li>Colour: white, midnight sail and evergreen</li> 
<li>Specialised dry clean only</li> 
<li>Made in Portugal</li> 
<li>Fits true to size, take your regular size</li>
<li>The model is 186cm/6’1 and is wearing a size M</li>
",MS24-TR-182-01,Non classé,TAILORING,"Mens Gifting, SS24, SS24 - Drop C",true,Size,44,,,,,,,,5056733910142,0.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-182-01-sports-tailoring-shorts-flat-1_042247c1-9083-4433-983d-e6c2cdd39de0.jpg?v=1718210877,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ms24-tr-182-01-sports-tailoring-shorts,,,,,,,,,46,,,,,,,,5056733910159,0.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-182-01-sports-tailoring-shorts-img01_0bf40ba9-4108-4a60-b4f4-d6ef1b804b21.jpg?v=1718210877,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-182-01-sports-tailoring-shorts,,,,,,,,,48,,,,,,,,5056733910166,0.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-182-01-sports-tailoring-shorts-img07_5e3287cd-9500-4df0-bae4-1c38d77f287d.jpg?v=1718210877,3,,,,,,,,,,,,,,,,,kg,,,,,,,,,
