Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / France,Price / France,Compare At Price / France,Included / Belgique,Price / Belgique,Compare At Price / Belgique,Status
ms24-tr-012-16-yoruba-flowers-silk-shorts,Yoruba Flowers Silk Shorts,"<p>Le Yoruba Flowers silk short est un imprimé all-overouge avec Yoruba flowers getting a Casablanca spenvec an accompaniment of mint, et oranges, framed by flora, along avec artworks illustrating le deep hues of le Lagos skyline - reflecting their significance within Nigerian culture. Complété par a poche arrière avec la signature de la maison monogramme diamant logo, taille élastiquée, fermeture par cordon, poches latérales, et contrast detail down le sides et unutour du ourlet.</p>
<li>Printed sergé de soie</li>
<li>100 % soie</li>
<li>Yoruba Flowers print multicolore</li>
<li>Nettoyage à sec uniquement</li>
<li>Fabriqué en Italie</li>
<li>Coupes true to taille, prenez votre taille habituelle</li>
<li>Le mannequin mesure 1m87 et porte une taille M</li>",MS24-TR-012-16,Non classé,TROUSERS,"Mens Gifting, SS24, SS24 - Drop A, SS24 - Drop B",true,Size,XXS,,,,,,,,5056733909702,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-flat-1_781c8886-841d-468e-b26a-0aa8911b5833.jpg?v=1718209902,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,XS,,,,,,,,5056733909719,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-img01_1148bc14-cb55-4d1a-9356-c08918726d84.jpg?v=1718209902,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,S,,,,,,,,5056733909726,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-img07_2a33bc01-1ac1-4a02-a70c-73ef133efb27.jpg?v=1718209902,3,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,M,,,,,,,,5056733909733,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-img37_650c3688-c73e-4671-a3d0-f069783b163a.jpg?v=1718209902,4,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,L,,,,,,,,5056733909740,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-img41_9eb2d129-3bb5-4c7a-bc6a-255fcf920cd2.jpg?v=1718209902,5,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,XL,,,,,,,,5056733909757,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-flat-2_6c26a527-405f-43e5-831f-ac8f43aa7ba7.jpg?v=1718209902,6,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,XXL,,,,,,,,5056733909764,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,XXXL,,,,,,,,5056733909771,100.0,,deny,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
ms24-tr-012-16-yoruba-flowers-silk-shorts,Yoruba Flowers Silk Shorts,"<p>Le Yoruba Flowers silk short est un imprimé all-overouge avec Yoruba flowers getting a Casablanca spenvec an accompaniment of mint, et oranges, framed by flora, along avec artworks illustrating le deep hues of le Lagos skyline - reflecting their significance within Nigerian culture. Complété par a poche arrière avec la signature de la maison monogramme diamant logo, taille élastiquée, fermeture par cordon, poches latérales, et contrast detail down le sides et unutour du ourlet.</p>
<li>Printed sergé de soie</li>
<li>100 % soie</li>
<li>Yoruba Flowers print multicolore</li>
<li>Nettoyage à sec uniquement</li>
<li>Fabriqué en Italie</li>
<li>Coupes true to taille, prenez votre taille habituelle</li>
<li>Le mannequin mesure 1m87 et porte une taille M</li>",MS24-TR-012-16,Non classé,TROUSERS,"Mens Gifting, SS24, SS24 - Drop A, SS24 - Drop B",true,Size,XXS,,,,,,,,5056733909702,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-flat-1_781c8886-841d-468e-b26a-0aa8911b5833.jpg?v=1718209902,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ms24-tr-012-16-yoruba-flowers-silk-shorts,,,,,,,,,XS,,,,,,,,5056733909719,100.0,,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0786/5928/9420/files/casablanca-paris-ms24-tr-012-16-yoruba-flowers-silk-shorts-img01_1148bc14-cb55-4d1a-9356-c08918726d84.jpg?v=1718209902,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
